Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.213438	1	0	0	2	0	-81.4474
0.213438	1	0	0	3	0	-81.1762
0.213438	1	0	0	4	0	-81.3384
0.213438	1	0	0	5	0	-81.1242
0.213438	1	0	0	6	0	-80.8887
0.213438	1	0	0	7	0	-80.9761
0.213438	1	0	0	8	0	-80.9118
0.21375	1	0	0	1	0	-81.3827
0.21375	1	0	0	2	0	-81.4474
0.21375	1	0	0	3	0	-81.1762
0.21375	1	0	0	4	0	-81.3384
0.21375	1	0	0	5	0	-81.1242
0.21375	1	0	0	6	0	-80.8887
0.21375	1	0	0	7	0	-80.9761
0.21375	1	0	0	8	0	-80.9118
0.214125	1	0	0	1	0	-81.3827
0.214125	1	0	0	2	0	-81.4474
0.214125	1	0	0	3	0	-81.1762
0.214125	1	0	0	4	0	-81.3384
0.214125	1	0	0	5	0	-81.1242
0.214125	1	0	0	6	0	-80.8887
0.214125	1	0	0	7	0	-80.9761
0.214125	1	0	0	8	0	-80.9118
0.215	1	0	0	1	0	-81.3827
0.215	1	0	0	2	0	-81.4474
0.215	1	0	0	3	0	-81.1762
0.215	1	0	0	4	0	-81.3384
0.215	1	0	0	5	0	-81.1242
0.215	1	0	0	6	0	-80.8887
0.215	1	0	0	7	0	-80.9761
0.215	1	0	0	8	0	-80.9118
0.215312	1	0	0	1	0	-81.3827
0.215312	1	0	0	2	0	-81.4474
0.215312	1	0	0	3	0	-81.1762
0.215312	1	0	0	4	0	-81.3384
0.215312	1	0	0	5	0	-81.1242
0.215312	1	0	0	6	0	-80.8887
0.215312	1	0	0	7	0	-80.9761
0.215312	1	0	0	8	0	-80.9118
0.216375	1	0	0	1	0	-81.3827
0.216375	1	0	0	2	0	-81.4474
0.216375	1	0	0	3	0	-81.1762
0.216375	1	0	0	4	0	-81.3384
0.216375	1	0	0	5	0	-81.1242
0.216375	1	0	0	6	0	-80.8887
0.216375	1	0	0	7	0	-80.9761
0.216375	1	0	0	8	0	-80.9118
0.2165	1	0	0	1	0	-81.3827
0.2165	1	0	0	2	0	-81.4474
0.2165	1	0	0	3	0	-81.1762
0.2165	1	0	0	4	0	-81.3384
0.2165	1	0	0	5	0	-81.1242
0.2165	1	0	0	6	0	-80.8887
0.2165	1	0	0	7	0	-80.9761
0.2165	1	0	0	8	0	-80.9118
0.217562	1	0	0	1	0	-81.3827
0.217562	1	0	0	2	0	-81.4474
0.217562	1	0	0	3	0	-81.1762
0.217562	1	0	0	4	0	-81.3384
0.217562	1	0	0	5	0	-81.1242
0.217562	1	0	0	6	0	-80.8887
0.217562	1	0	0	7	0	-80.9761
0.217562	1	0	0	8	0	-80.9118
0.21775	1	0	0	1	0	-81.3827
0.21775	1	0	0	2	0	-81.4474
0.21775	1	0	0	3	0	-81.1762
0.21775	1	0	0	4	0	-81.3384
0.21775	1	0	0	5	0	-81.1242
0.21775	1	0	0	6	0	-80.8887
0.21775	1	0	0	7	0	-80.9761
0.21775	1	0	0	8	0	-80.9118
0.218438	1	0	0	1	0	-81.3827
0.218438	1	0	0	2	0	-81.4474
0.218438	1	0	0	3	0	-81.1762
0.218438	1	0	0	4	0	-81.3384
0.218438	1	0	0	5	0	-81.1242
0.218438	1	0	0	6	0	-80.8887
0.218438	1	0	0	7	0	-80.9761
0.218438	1	0	0	8	0	-80.9118
0.21875	1	0	0	1	0	-81.3827
0.21875	1	0	0	2	0	-81.4474
0.21875	1	0	0	3	0	-81.1762
0.21875	1	0	0	4	0	-81.3384
0.21875	1	0	0	5	0	-81.1242
0.21875	1	0	0	6	0	-80.8887
0.21875	1	0	0	7	0	-80.9761
0.21875	1	0	0	8	0	-80.9118
0.219125	1	0	0	1	0	-81.3827
0.219125	1	0	0	2	0	-81.4474
0.219125	1	0	0	3	0	-81.1762
0.219125	1	0	0	4	0	-81.3384
0.219125	1	0	0	5	0	-81.1242
0.219125	1	0	0	6	0	-80.8887
0.219125	1	0	0	7	0	-80.9761
0.219125	1	0	0	8	0	-80.9118
0.22	1	0	0	1	0	-81.3827
0.22	1	0	0	2	0	-81.4474
0.22	1	0	0	3	0	-81.1762
0.22	1	0	0	4	0	-81.3384
0.22	1	0	0	5	0	-81.1242
0.22	1	0	0	6	0	-80.8887
0.22	1	0	0	7	0	-80.9761
0.22	1	0	0	8	0	-80.9118
0.220312	1	0	0	1	0	-81.3827
0.220312	1	0	0	2	0	-81.4474
0.220312	1	0	0	3	0	-81.1762
0.220312	1	0	0	4	0	-81.3384
0.220312	1	0	0	5	0	-81.1242
0.220312	1	0	0	6	0	-80.8887
0.220312	1	0	0	7	0	-80.9761
0.220312	1	0	0	8	0	-80.9118
0.221375	1	0	0	1	0	-81.3827
0.221375	1	0	0	2	0	-81.4474
0.221375	1	0	0	3	0	-81.1762
0.221375	1	0	0	4	0	-81.3384
0.221375	1	0	0	5	0	-81.1242
0.221375	1	0	0	6	0	-80.8887
0.221375	1	0	0	7	0	-80.9761
0.221375	1	0	0	8	0	-80.9118
0.2215	1	0	0	1	0	-81.3827
0.2215	1	0	0	2	0	-81.4474
0.2215	1	0	0	3	0	-81.1762
0.2215	1	0	0	4	0	-81.3384
0.2215	1	0	0	5	0	-81.1242
0.2215	1	0	0	6	0	-80.8887
0.2215	1	0	0	7	0	-80.9761
0.2215	1	0	0	8	0	-80.9118
0.222562	1	0	0	1	0	-81.3827
0.222562	1	0	0	2	0	-81.4474
0.222562	1	0	0	3	0	-81.1762
0.222562	1	0	0	4	0	-81.3384
0.222562	1	0	0	5	0	-81.1242
0.222562	1	0	0	6	0	-80.8887
0.222562	1	0	0	7	0	-80.9761
0.222562	1	0	0	8	0	-80.9118
0.22275	1	0	0	1	0	-81.3827
0.22275	1	0	0	2	0	-81.4474
0.22275	1	0	0	3	0	-81.1762
0.22275	1	0	0	4	0	-81.3384
0.22275	1	0	0	5	0	-81.1242
0.22275	1	0	0	6	0	-80.8887
0.22275	1	0	0	7	0	-80.9761
0.22275	1	0	0	8	0	-80.9118
0.223438	1	0	0	1	0	-81.3827
0.223438	1	0	0	2	0	-81.4474
0.223438	1	0	0	3	0	-81.1762
0.223438	1	0	0	4	0	-81.3384
0.223438	1	0	0	5	0	-81.1242
0.223438	1	0	0	6	0	-80.8887
0.223438	1	0	0	7	0	-80.9761
0.223438	1	0	0	8	0	-80.9118
0.22375	1	0	0	1	0	-81.3827
0.22375	1	0	0	2	0	-81.4474
0.22375	1	0	0	3	0	-81.1762
0.22375	1	0	0	4	0	-81.3384
0.22375	1	0	0	5	0	-81.1242
0.22375	1	0	0	6	0	-80.8887
0.22375	1	0	0	7	0	-80.9761
0.22375	1	0	0	8	0	-80.9118
0.224125	1	0	0	1	0	-81.3827
0.224125	1	0	0	2	0	-81.4474
0.224125	1	0	0	3	0	-81.1762
0.224125	1	0	0	4	0	-81.3384
0.224125	1	0	0	5	0	-81.1242
0.224125	1	0	0	6	0	-80.8887
0.224125	1	0	0	7	0	-80.9761
0.224125	1	0	0	8	0	-80.9118
0.225	1	0	0	1	0	-81.3827
0.225	1	0	0	2	0	-81.4474
0.225	1	0	0	3	0	-81.1762
0.225	1	0	0	4	0	-81.3384
0.225	1	0	0	5	0	-81.1242
0.225	1	0	0	6	0	-80.8887
0.225	1	0	0	7	0	-80.9761
0.225	1	0	0	8	0	-80.9118
0.225312	1	0	0	1	0	-81.3827
0.225312	1	0	0	2	0	-81.4474
0.225312	1	0	0	3	0	-81.1762
0.225312	1	0	0	4	0	-81.3384
0.225312	1	0	0	5	0	-81.1242
0.225312	1	0	0	6	0	-80.8887
0.225312	1	0	0	7	0	-80.9761
0.225312	1	0	0	8	0	-80.9118
0.2255	1	0	0	1	0	-81.3827
0.2255	1	0	0	2	0	-81.4474
0.2255	1	0	0	3	0	-81.1762
0.2255	1	0	0	4	0	-81.3384
0.2255	1	0	0	5	0	-81.1242
0.2255	1	0	0	6	0	-80.8887
0.2255	1	0	0	7	0	-80.9761
0.2255	1	0	0	8	0	-80.9118
0.225504	1	0	0	1	0	-81.3827
0.225504	1	0	0	2	0	-81.4474
0.225504	1	0	0	3	0	-81.1762
0.225504	1	0	0	4	0	-81.3384
0.225504	1	0	0	5	0	-81.1242
0.225504	1	0	0	6	0	-80.8887
0.225504	1	0	0	7	0	-80.9761
0.225504	1	0	0	8	0	-80.9118
0.226375	1	0	0	1	0	-81.3827
0.226375	1	0	0	2	0	-81.4474
0.226375	1	0	0	3	0	-81.1762
0.226375	1	0	0	4	0	-81.3384
0.226375	1	0	0	5	0	-81.1242
0.226375	1	0	0	6	0	-80.8887
0.226375	1	0	0	7	0	-80.9761
0.226375	1	0	0	8	0	-80.9118
0.2265	1	0	0	1	0	-81.3827
0.2265	1	0	0	2	0	-81.4474
0.2265	1	0	0	3	0	-81.1762
0.2265	1	0	0	4	0	-81.3384
0.2265	1	0	0	5	0	-81.1242
0.2265	1	0	0	6	0	-80.8887
0.2265	1	0	0	7	0	-80.9761
0.2265	1	0	0	8	0	-80.9118
0.227563	1	0	0	1	0	-81.3827
0.227563	1	0	0	2	0	-81.4474
0.227563	1	0	0	3	0	-81.1762
0.227563	1	0	0	4	0	-81.3384
0.227563	1	0	0	5	0	-81.1242
0.227563	1	0	0	6	0	-80.8887
0.227563	1	0	0	7	0	-80.9761
0.227563	1	0	0	8	0	-80.9118
0.22775	1	0	0	1	0	-81.3827
0.22775	1	0	0	2	0	-81.4474
0.22775	1	0	0	3	0	-81.1762
0.22775	1	0	0	4	0	-81.3384
0.22775	1	0	0	5	0	-81.1242
0.22775	1	0	0	6	0	-80.8887
0.22775	1	0	0	7	0	-80.9761
0.22775	1	0	0	8	0	-80.9118
0.228437	1	0	0	1	0	-81.3827
0.228437	1	0	0	2	0	-81.4474
0.228437	1	0	0	3	0	-81.1762
0.228437	1	0	0	4	0	-81.3384
0.228437	1	0	0	5	0	-81.1242
0.228437	1	0	0	6	0	-80.8887
0.228437	1	0	0	7	0	-80.9761
0.228437	1	0	0	8	0	-80.9118
0.22875	1	0	0	1	0	-81.3827
0.22875	1	0	0	2	0	-81.4474
0.22875	1	0	0	3	0	-81.1762
0.22875	1	0	0	4	0	-81.3384
0.22875	1	0	0	5	0	-81.1242
0.22875	1	0	0	6	0	-80.8887
0.22875	1	0	0	7	0	-80.9761
0.22875	1	0	0	8	0	-80.9118
0.229	1	0	0	1	0	-81.3827
0.229	1	0	0	2	0	-81.4474
0.229	1	0	0	3	0	-81.1762
0.229	1	0	0	4	0	-81.3384
0.229	1	0	0	5	0	-81.1242
0.229	1	0	0	6	0	-80.8887
0.229	1	0	0	7	0	-80.9761
0.229	1	0	0	8	0	-80.9118
0.229004	1	0	0	1	0	-81.3827
0.229004	1	0	0	2	0	-81.4474
0.229004	1	0	0	3	0	-81.1762
0.229004	1	0	0	4	0	-81.3384
0.229004	1	0	0	5	0	-81.1242
0.229004	1	0	0	6	0	-80.8887
0.229004	1	0	0	7	0	-80.9761
0.229004	1	0	0	8	0	-80.9118
0.229125	1	0	0	1	0	-81.3827
0.229125	1	0	0	2	0	-81.4474
0.229125	1	0	0	3	0	-81.1762
0.229125	1	0	0	4	0	-81.3384
0.229125	1	0	0	5	0	-81.1242
0.229125	1	0	0	6	0	-80.8887
0.229125	1	0	0	7	0	-80.9761
0.229125	1	0	0	8	0	-80.9118
0.23	1	0	0	1	0	-81.3827
0.23	1	0	0	2	0	-81.4474
0.23	1	0	0	3	0	-81.1762
0.23	1	0	0	4	0	-81.3384
0.23	1	0	0	5	0	-81.1242
0.23	1	0	0	6	0	-80.8887
0.23	1	0	0	7	0	-80.9761
0.23	1	0	0	8	0	-80.9118
0.230313	1	0	0	1	0	-81.3827
0.230313	1	0	0	2	0	-81.4474
0.230313	1	0	0	3	0	-81.1762
0.230313	1	0	0	4	0	-81.3384
0.230313	1	0	0	5	0	-81.1242
0.230313	1	0	0	6	0	-80.8887
0.230313	1	0	0	7	0	-80.9761
0.230313	1	0	0	8	0	-80.9118
0.231375	1	0	0	1	0	-81.3827
0.231375	1	0	0	2	0	-81.4474
0.231375	1	0	0	3	0	-81.1762
0.231375	1	0	0	4	0	-81.3384
0.231375	1	0	0	5	0	-81.1242
0.231375	1	0	0	6	0	-80.8887
0.231375	1	0	0	7	0	-80.9761
0.231375	1	0	0	8	0	-80.9118
0.2315	1	0	0	1	0	-81.3827
0.2315	1	0	0	2	0	-81.4474
0.2315	1	0	0	3	0	-81.1762
0.2315	1	0	0	4	0	-81.3384
0.2315	1	0	0	5	0	-81.1242
0.2315	1	0	0	6	0	-80.8887
0.2315	1	0	0	7	0	-80.9761
0.2315	1	0	0	8	0	-80.9118
0.232563	1	0	0	1	0	-81.3827
0.232563	1	0	0	2	0	-81.4474
0.232563	1	0	0	3	0	-81.1762
0.232563	1	0	0	4	0	-81.3384
0.232563	1	0	0	5	0	-81.1242
0.232563	1	0	0	6	0	-80.8887
0.232563	1	0	0	7	0	-80.9761
0.232563	1	0	0	8	0	-80.9118
0.23275	1	0	0	1	0	-81.3827
0.23275	1	0	0	2	0	-81.4474
0.23275	1	0	0	3	0	-81.1762
0.23275	1	0	0	4	0	-81.3384
0.23275	1	0	0	5	0	-81.1242
0.23275	1	0	0	6	0	-80.8887
0.23275	1	0	0	7	0	-80.9761
0.23275	1	0	0	8	0	-80.9118
0.233437	1	0	0	1	0	-81.3827
0.233437	1	0	0	2	0	-81.4474
0.233437	1	0	0	3	0	-81.1762
0.233437	1	0	0	4	0	-81.3384
0.233437	1	0	0	5	0	-81.1242
0.233437	1	0	0	6	0	-80.8887
0.233437	1	0	0	7	0	-80.9761
0.233437	1	0	0	8	0	-80.9118
0.23375	1	0	0	1	0	-81.3827
0.23375	1	0	0	2	0	-81.4474
0.23375	1	0	0	3	0	-81.1762
0.23375	1	0	0	4	0	-81.3384
0.23375	1	0	0	5	0	-81.1242
0.23375	1	0	0	6	0	-80.8887
0.23375	1	0	0	7	0	-80.9761
0.23375	1	0	0	8	0	-80.9118
0.234125	1	0	0	1	0	-81.3827
0.234125	1	0	0	2	0	-81.4474
0.234125	1	0	0	3	0	-81.1762
0.234125	1	0	0	4	0	-81.3384
0.234125	1	0	0	5	0	-81.1242
0.234125	1	0	0	6	0	-80.8887
0.234125	1	0	0	7	0	-80.9761
0.234125	1	0	0	8	0	-80.9118
0.235	1	0	0	1	0	-81.3827
0.235	1	0	0	2	0	-81.4474
0.235	1	0	0	3	0	-81.1762
0.235	1	0	0	4	0	-81.3384
0.235	1	0	0	5	0	-81.1242
0.235	1	0	0	6	0	-80.8887
0.235	1	0	0	7	0	-80.9761
0.235	1	0	0	8	0	-80.9118
0.235313	1	0	0	1	0	-81.3827
0.235313	1	0	0	2	0	-81.4474
0.235313	1	0	0	3	0	-81.1762
0.235313	1	0	0	4	0	-81.3384
0.235313	1	0	0	5	0	-81.1242
0.235313	1	0	0	6	0	-80.8887
0.235313	1	0	0	7	0	-80.9761
0.235313	1	0	0	8	0	-80.9118
0.236375	1	0	0	1	0	-81.3827
0.236375	1	0	0	2	0	-81.4474
0.236375	1	0	0	3	0	-81.1762
0.236375	1	0	0	4	0	-81.3384
0.236375	1	0	0	5	0	-81.1242
0.236375	1	0	0	6	0	-80.8887
0.236375	1	0	0	7	0	-80.9761
0.236375	1	0	0	8	0	-80.9118
0.2365	1	0	0	1	0	-81.3827
0.2365	1	0	0	2	0	-81.4474
0.2365	1	0	0	3	0	-81.1762
0.2365	1	0	0	4	0	-81.3384
0.2365	1	0	0	5	0	-81.1242
0.2365	1	0	0	6	0	-80.8887
0.2365	1	0	0	7	0	-80.9761
0.2365	1	0	0	8	0	-80.9118
0.237563	1	0	0	1	0	-81.3827
0.237563	1	0	0	2	0	-81.4474
0.237563	1	0	0	3	0	-81.1762
0.237563	1	0	0	4	0	-81.3384
0.237563	1	0	0	5	0	-81.1242
0.237563	1	0	0	6	0	-80.8887
0.237563	1	0	0	7	0	-80.9761
0.237563	1	0	0	8	0	-80.9118
0.23775	1	0	0	1	0	-81.3827
0.23775	1	0	0	2	0	-81.4474
0.23775	1	0	0	3	0	-81.1762
0.23775	1	0	0	4	0	-81.3384
0.23775	1	0	0	5	0	-81.1242
0.23775	1	0	0	6	0	-80.8887
0.23775	1	0	0	7	0	-80.9761
0.23775	1	0	0	8	0	-80.9118
0.238437	1	0	0	1	0	-81.3827
0.238437	1	0	0	2	0	-81.4474
0.238437	1	0	0	3	0	-81.1762
0.238437	1	0	0	4	0	-81.3384
0.238437	1	0	0	5	0	-81.1242
0.238437	1	0	0	6	0	-80.8887
0.238437	1	0	0	7	0	-80.9761
0.238437	1	0	0	8	0	-80.9118
0.23875	1	0	0	1	0	-81.3827
0.23875	1	0	0	2	0	-81.4474
0.23875	1	0	0	3	0	-81.1762
0.23875	1	0	0	4	0	-81.3384
0.23875	1	0	0	5	0	-81.1242
0.23875	1	0	0	6	0	-80.8887
0.23875	1	0	0	7	0	-80.9761
0.23875	1	0	0	8	0	-80.9118
0.239	1	0	0	1	0	-81.3827
0.239	1	0	0	2	0	-81.4474
0.239	1	0	0	3	0	-81.1762
0.239	1	0	0	4	0	-81.3384
0.239	1	0	0	5	0	-81.1242
0.239	1	0	0	6	0	-80.8887
0.239	1	0	0	7	0	-80.9761
0.239	1	0	0	8	0	-80.9118
0.239004	1	0	0	1	0	-81.3827
0.239004	1	0	0	2	0	-81.4474
0.239004	1	0	0	3	0	-81.1762
0.239004	1	0	0	4	0	-81.3384
0.239004	1	0	0	5	0	-81.1242
0.239004	1	0	0	6	0	-80.8887
0.239004	1	0	0	7	0	-80.9761
0.239004	1	0	0	8	0	-80.9118
0.239125	1	0	0	1	0	-81.3827
0.239125	1	0	0	2	0	-81.4474
0.239125	1	0	0	3	0	-81.1762
0.239125	1	0	0	4	0	-81.3384
0.239125	1	0	0	5	0	-81.1242
0.239125	1	0	0	6	0	-80.8887
0.239125	1	0	0	7	0	-80.9761
0.239125	1	0	0	8	0	-80.9118
0.24	1	0	0	1	0	-81.3827
0.24	1	0	0	2	0	-81.4474
0.24	1	0	0	3	0	-81.1762
0.24	1	0	0	4	0	-81.3384
0.24	1	0	0	5	0	-81.1242
0.24	1	0	0	6	0	-80.8887
0.24	1	0	0	7	0	-80.9761
0.24	1	0	0	8	0	-80.9118
0.240313	1	0	0	1	0	-81.3827
0.240313	1	0	0	2	0	-81.4474
0.240313	1	0	0	3	0	-81.1762
0.240313	1	0	0	4	0	-81.3384
0.240313	1	0	0	5	0	-81.1242
0.240313	1	0	0	6	0	-80.8887
0.240313	1	0	0	7	0	-80.9761
0.240313	1	0	0	8	0	-80.9118
0.241375	1	0	0	1	0	-81.3827
0.241375	1	0	0	2	0	-81.4474
0.241375	1	0	0	3	0	-81.1762
0.241375	1	0	0	4	0	-81.3384
0.241375	1	0	0	5	0	-81.1242
0.241375	1	0	0	6	0	-80.8887
0.241375	1	0	0	7	0	-80.9761
0.241375	1	0	0	8	0	-80.9118
0.2415	1	0	0	1	0	-81.3827
0.2415	1	0	0	2	0	-81.4474
0.2415	1	0	0	3	0	-81.1762
0.2415	1	0	0	4	0	-81.3384
0.2415	1	0	0	5	0	-81.1242
0.2415	1	0	0	6	0	-80.8887
0.2415	1	0	0	7	0	-80.9761
0.2415	1	0	0	8	0	-80.9118
0.242562	1	0	0	1	0	-81.3827
0.242562	1	0	0	2	0	-81.4474
0.242562	1	0	0	3	0	-81.1762
0.242562	1	0	0	4	0	-81.3384
0.242562	1	0	0	5	0	-81.1242
0.242562	1	0	0	6	0	-80.8887
0.242562	1	0	0	7	0	-80.9761
0.242562	1	0	0	8	0	-80.9118
0.24275	1	0	0	1	0	-81.3827
0.24275	1	0	0	2	0	-81.4474
0.24275	1	0	0	3	0	-81.1762
0.24275	1	0	0	4	0	-81.3384
0.24275	1	0	0	5	0	-81.1242
0.24275	1	0	0	6	0	-80.8887
0.24275	1	0	0	7	0	-80.9761
