time(s)	cellId	rnti	lcid	packetSize
3.39665	2	6	3	54
3.39681	2	7	3	54
3.3969	2	6	3	54
3.39694	2	7	3	54
3.39713	2	7	3	54
3.39715	2	6	3	54
3.39731	2	6	3	54
3.39738	2	7	3	54
3.3975	2	6	3	54
3.39756	2	7	3	54
3.39769	2	7	3	54
3.39781	2	6	3	54
3.39788	2	7	3	54
3.398	2	6	3	54
3.39806	2	7	3	54
3.39821	2	6	3	54
3.39825	2	7	3	54
3.39844	2	7	3	54
3.39846	2	6	3	54
3.39863	2	6	3	54
3.39869	2	7	3	54
3.39881	2	6	3	54
3.39888	2	7	3	54
3.399	2	6	3	54
3.39906	2	7	3	54
3.39921	2	6	3	54
3.39925	2	7	3	54
3.39944	2	7	3	54
3.39946	2	6	3	54
3.39963	2	6	3	54
3.39969	2	7	3	54
3.39981	2	6	3	54
3.39988	2	7	3	54
3.40002	2	6	3	54
3.40006	2	7	3	54
3.40025	2	7	3	54
3.40027	2	6	3	54
3.40044	2	6	3	54
3.4005	2	7	3	54
3.40063	2	6	3	54
3.40069	2	7	3	54
3.40081	2	6	3	54
3.40088	2	7	3	54
3.40102	2	6	3	54
3.40106	2	7	3	54
3.40125	2	6	3	54
3.40131	2	7	3	54
3.40144	2	6	3	54
3.4015	2	7	3	54
3.40163	2	6	3	54
3.40169	2	7	3	54
3.40184	2	6	3	54
3.40188	2	7	3	54
3.40209	2	6	3	54
3.40213	2	7	3	54
3.40219	2	6	3	54
3.40231	2	7	3	54
3.40238	2	6	3	54
3.40256	2	7	3	54
3.40259	2	6	3	54
3.40275	2	7	3	54
3.40281	2	6	3	54
3.40294	2	6	3	54
3.403	2	7	3	54
3.40315	2	6	3	54
3.40319	2	7	3	54
3.40338	2	7	3	54
3.4034	2	6	3	54
3.40356	2	6	3	54
3.40363	2	7	3	54
3.40375	2	6	3	54
3.40388	2	7	3	54
3.4039	2	6	3	54
3.40406	2	7	3	54
3.40413	2	6	3	54
3.40425	2	7	3	54
3.40431	2	6	3	54
3.40444	2	7	3	54
3.4045	2	6	3	54
3.40469	2	7	3	54
3.40471	2	6	3	54
3.40488	2	7	3	54
3.405	2	7	3	54
3.40502	2	6	3	54
3.40519	2	6	3	54
3.40525	2	7	3	54
3.40538	2	6	3	54
3.40544	2	7	3	54
3.40556	2	6	3	54
3.40563	2	7	3	54
3.40577	2	6	3	54
3.40588	2	6	3	54
3.40955	2	3	3	54
3.42923	2	5	3	54
3.42948	2	5	3	54
3.42973	2	5	3	54
3.42998	2	5	3	54
3.43023	2	5	3	54
3.43055	2	5	3	54
3.43057	2	1	3	54
3.43065	2	1	3	54
3.43092	2	5	3	54
3.43113	2	1	3	54
3.4313	2	5	3	54
3.4314	2	1	3	54
3.43157	2	1	3	54
3.4318	2	5	3	54
3.43182	2	1	3	54
3.43211	2	5	3	54
3.43236	2	5	3	54
3.43261	2	5	3	54
3.43287	2	5	3	54
3.43311	2	5	3	54
3.43336	2	5	3	54
3.43361	2	5	3	54
3.43386	2	5	3	54
3.43411	2	5	3	54
3.43436	2	5	3	54
3.43466	2	5	3	54
3.4348	2	5	3	54
3.43505	2	5	3	54
3.4353	2	5	3	54
3.43555	2	5	3	54
3.4358	2	5	3	54
3.43605	2	5	3	54
3.4363	2	5	3	54
3.43655	2	5	3	54
3.4368	2	5	3	54
3.43705	2	5	3	54
3.4373	2	5	3	54
3.43755	2	5	3	54
3.4378	2	5	3	54
3.43805	2	5	3	54
3.4383	2	5	3	54
3.43855	2	5	3	54
3.43856	2	3	3	54
3.43881	2	5	3	54
3.43905	2	5	3	54
3.4393	2	5	3	54
3.43955	2	5	3	54
3.4398	2	5	3	54
3.44005	2	5	3	54
3.4403	2	5	3	54
3.44055	2	5	3	54
3.4408	2	5	3	54
3.44105	2	5	3	54
3.4413	2	5	3	54
3.44155	2	5	3	54
3.4418	2	5	3	54
3.44205	2	5	3	54
3.4423	2	5	3	54
3.44255	2	5	3	54
3.4428	2	5	3	54
3.44305	2	5	3	54
3.4433	2	5	3	54
3.44355	2	5	3	54
3.4438	2	5	3	54
3.44405	2	5	3	54
3.4443	2	5	3	54
3.44455	2	5	3	54
3.4448	2	5	3	54
3.44505	2	5	3	54
3.4453	2	5	3	54
3.44555	2	5	3	54
3.4458	2	5	3	54
3.44605	2	5	3	54
3.4463	2	5	3	54
3.44655	2	5	3	54
3.4468	2	5	3	54
3.44705	2	5	3	54
3.4473	2	5	3	54
3.44755	2	5	3	54
3.4478	2	5	3	54
3.44805	2	5	3	54
3.4483	2	5	3	54
3.44855	2	5	3	54
3.4488	2	5	3	54
3.44906	2	5	3	54
3.4493	2	5	3	54
3.44955	2	5	3	54
3.46256	2	7	3	54
3.46265	2	7	3	54
3.46269	2	6	3	54
3.4629	2	6	3	54
3.463	2	7	3	54
3.46309	2	7	3	54
3.46313	2	6	3	54
3.46331	2	7	3	54
3.46334	2	6	3	54
3.4635	2	7	3	54
3.46359	2	6	3	54
3.46369	2	6	3	54
3.46375	2	7	3	54
3.46388	2	7	3	54
3.46394	2	6	3	54
3.46406	2	7	3	54
3.46413	2	6	3	54
3.46431	2	7	3	54
3.46434	2	6	3	54
3.4645	2	6	3	54
3.46456	2	7	3	54
3.46469	2	7	3	54
3.46475	2	6	3	54
3.46488	2	7	3	54
3.46494	2	6	3	54
3.46513	2	7	3	54
3.46515	2	6	3	54
3.46531	2	6	3	54
3.46538	2	7	3	54
3.4655	2	7	3	54
3.46556	2	6	3	54
3.46569	2	7	3	54
3.46575	2	6	3	54
3.46588	2	7	3	54
3.46594	2	6	3	54
3.46613	2	6	3	54
3.46619	2	7	3	54
3.46631	2	7	3	54
3.46638	2	6	3	54
3.4665	2	7	3	54
3.46656	2	6	3	54
3.46669	2	7	3	54
3.46675	2	6	3	54
3.46694	2	7	3	54
3.46696	2	6	3	54
3.46713	2	7	3	54
3.46721	2	6	3	54
3.46725	2	7	3	54
3.46744	2	7	3	54
3.46746	2	6	3	54
3.46763	2	6	3	54
3.46769	2	7	3	54
3.46781	2	6	3	54
3.46788	2	7	3	54
3.46802	2	7	3	54
3.46813	2	6	3	54
3.46819	2	7	3	54
3.46831	2	6	3	54
3.46838	2	7	3	54
3.46852	2	6	3	54
3.46856	2	7	3	54
3.46875	2	7	3	54
3.46877	2	6	3	54
3.46894	2	7	3	54
3.46902	2	6	3	54
3.46913	2	7	3	54
3.46919	2	6	3	54
3.46931	2	7	3	54
3.46938	2	6	3	54
3.46956	2	7	3	54
3.46959	2	6	3	54
3.46975	2	7	3	54
3.46984	2	6	3	54
3.46994	2	7	3	54
3.47	2	6	3	54
3.47013	2	7	3	54
3.47019	2	6	3	54
3.47031	2	7	3	54
3.47038	2	6	3	54
3.47056	2	7	3	54
3.47059	2	6	3	54
3.47075	2	7	3	54
3.47081	2	6	3	54
3.47094	2	7	3	54
3.471	2	6	3	54
3.47113	2	7	3	54
3.47119	2	6	3	54
3.47138	2	7	3	54
3.4714	2	6	3	54
3.47156	2	7	3	54
3.47165	2	6	3	54
3.47175	2	7	3	54
3.47181	2	6	3	54
3.47194	2	7	3	54
3.472	2	6	3	54
3.47213	2	7	3	54
3.47219	2	6	3	54
3.47238	2	6	3	54
3.47244	2	7	3	54
3.47256	2	6	3	54
3.47263	2	7	3	54
3.47275	2	6	3	54
3.47281	2	7	3	54
3.47296	2	6	3	54
3.473	2	7	3	54
3.47321	2	6	3	54
3.47325	2	7	3	54
3.47331	2	6	3	54
3.47344	2	7	3	54
3.4735	2	6	3	54
3.47369	2	7	3	54
3.47371	2	6	3	54
3.47388	2	7	3	54
3.47394	2	6	3	54
3.47406	2	6	3	54
3.47413	2	7	3	54
3.47427	2	6	3	54
3.47431	2	7	3	54
3.4745	2	7	3	54
3.47452	2	6	3	54
3.47469	2	6	3	54
3.47475	2	7	3	54
3.47488	2	6	3	54
3.475	2	7	3	54
3.47502	2	6	3	54
3.47519	2	7	3	54
3.47527	2	6	3	54
3.47538	2	7	3	54
3.47544	2	6	3	54
3.47556	2	7	3	54
3.47563	2	6	3	54
3.47581	2	7	3	54
3.47584	2	6	3	54
3.476	2	7	3	54
3.47607	2	3	3	54
3.47613	2	7	3	54
3.47615	2	6	3	54
3.47631	2	6	3	54
3.47638	2	7	3	54
3.4765	2	6	3	54
3.47656	2	7	3	54
3.47671	2	6	3	54
3.47675	2	7	3	54
3.47696	2	7	3	54
3.477	2	6	3	54
3.47706	2	7	3	54
3.47721	2	6	3	54
3.47725	2	7	3	54
3.47744	2	7	3	54
3.47746	2	6	3	54
3.47763	2	6	3	54
3.47769	2	7	3	54
3.47781	2	7	3	54
3.47788	2	6	3	54
3.478	2	7	3	54
3.47806	2	6	3	54
3.47825	2	7	3	54
3.47827	2	6	3	54
3.47844	2	7	3	54
3.47852	2	6	3	54
3.47863	2	7	3	54
3.47875	2	7	3	54
3.47877	2	6	3	54
3.47894	2	6	3	54
3.479	2	7	3	54
3.47913	2	6	3	54
3.47919	2	7	3	54
3.47931	2	6	3	54
3.47938	2	7	3	54
3.47952	2	6	3	54
3.47956	2	7	3	54
3.47975	2	6	3	54
3.47981	2	7	3	54
3.47994	2	6	3	54
3.48	2	7	3	54
3.48013	2	6	3	54
3.48019	2	7	3	54
3.48034	2	7	3	54
3.48038	2	6	3	54
3.48056	2	7	3	54
3.48059	2	6	3	54
3.48075	2	7	3	54
3.48084	2	6	3	54
3.48094	2	7	3	54
3.481	2	6	3	54
3.48113	2	7	3	54
3.48125	2	7	3	54
3.48131	2	6	3	54
3.48144	2	7	3	54
3.4815	2	6	3	54
3.48163	2	7	3	54
3.48169	2	6	3	54
3.48188	2	7	3	54
3.48196	2	6	3	54
3.48206	2	7	3	54
3.48219	2	7	3	54
3.48221	2	6	3	54
3.48238	2	6	3	54
3.48244	2	7	3	54
3.48256	2	6	3	54
3.48263	2	7	3	54
3.48275	2	6	3	54
3.48281	2	7	3	54
3.48296	2	6	3	54
3.483	2	7	3	54
3.48319	2	7	3	54
3.48321	2	6	3	54
3.48338	2	6	3	54
3.48344	2	7	3	54
3.48356	2	6	3	54
3.48363	2	7	3	54
3.48377	2	6	3	54
3.48381	2	7	3	54
3.484	2	7	3	54
3.48402	2	6	3	54
3.48419	2	6	3	54
3.48425	2	7	3	54
3.48438	2	6	3	54
3.48444	2	7	3	54
3.48456	2	6	3	54
3.48469	2	7	3	54
3.48477	2	6	3	54
3.48488	2	7	3	54
3.48494	2	6	3	54
3.48506	2	7	3	54
3.48513	2	6	3	54
3.48531	2	7	3	54
3.48534	2	6	3	54
3.4855	2	6	3	54
3.48556	2	7	3	54
3.48569	2	6	3	54
3.48575	2	7	3	54
3.48588	2	6	3	54
3.48594	2	7	3	54
3.48609	2	6	3	54
3.48613	2	7	3	54
3.48634	2	6	3	54
3.48638	2	6	3	54
3.48644	2	7	3	54
3.48663	2	7	3	54
3.48665	2	6	3	54
3.48681	2	6	3	54
3.48688	2	7	3	54
3.487	2	6	3	54
3.48706	2	7	3	54
3.48719	2	6	3	54
3.48731	2	7	3	54
3.4874	2	6	3	54
3.4875	2	7	3	54
3.48756	2	6	3	54
3.48769	2	7	3	54
3.48775	2	6	3	54
3.48794	2	7	3	54
3.48796	2	6	3	54
3.48813	2	6	3	54
3.48819	2	7	3	54
3.48831	2	6	3	54
3.48838	2	7	3	54
3.48852	2	6	3	54
3.48856	2	7	3	54
3.48875	2	7	3	54
3.48877	2	6	3	54
3.48894	2	6	3	54
3.489	2	7	3	54
3.48906	2	6	3	54
3.48925	2	7	3	54
3.48927	2	6	3	54
3.48944	2	7	3	54
3.48952	2	6	3	54
3.48963	2	7	3	54
3.48969	2	6	3	54
3.48981	2	7	3	54
3.48994	2	6	3	54
3.49	2	7	3	54
3.49013	2	6	3	54
3.49019	2	7	3	54
3.49034	2	6	3	54
3.49038	2	7	3	54
3.49056	2	6	3	54
