time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.11953	2	7	3	54	0.000665176
3.11953	2	7	3	54	0.000540176
3.11953	2	7	3	54	0.000468748
3.11997	2	7	3	54	0.000790176
3.11997	2	7	3	54	0.000656248
3.11997	2	7	3	54	0.000602676
3.11997	2	7	3	54	0.000477676
3.12041	2	7	3	54	0.000843748
3.12041	2	7	3	54	0.000727676
3.12041	2	7	3	54	0.000593748
3.12691	2	5	3	54	0.000602676
3.12691	2	5	3	54	0.000531248
3.12691	2	5	3	54	0.000415176
3.12691	2	5	3	54	0.000281248
3.12728	2	5	3	54	0.000602676
3.12728	2	5	3	54	0.000477676
3.12728	2	5	3	54	0.000406248
3.12728	2	5	3	54	0.000290176
3.12778	2	5	3	54	0.000656248
3.12778	2	5	3	54	0.000602676
3.12778	2	5	3	54	0.000477676
3.12778	2	5	3	54	0.000343748
3.12822	2	5	3	54	0.000727676
3.12822	2	5	3	54	0.000602676
3.12822	2	5	3	54	0.000531248
3.12822	2	5	3	54	0.000415176
3.1286	2	1	3	54	0.000656248
3.1286	2	1	3	54	0.000602676
3.1286	2	1	3	54	0.000477676
3.1286	2	1	3	54	0.000406248
3.12903	2	1	3	54	0.000723212
3.12903	2	1	3	54	0.000589284
3.12903	2	1	3	54	0.000535712
3.12903	2	1	3	54	0.000410712
3.12947	2	1	3	54	0.000781248
3.12947	2	1	3	54	0.000665176
3.12947	2	1	3	54	0.000540176
3.12947	2	1	3	54	0.000468748
3.12991	2	1	3	54	0.000790176
3.12991	2	1	3	54	0.000656248
3.12991	2	1	3	54	0.000602676
3.12991	2	1	3	54	0.000477676
3.12991	2	1	3	54	0.000406248
3.13035	2	1	3	54	0.000727676
3.13035	2	1	3	54	0.000593748
3.13035	2	1	3	54	0.000540176
3.13035	2	1	3	54	0.000415176
3.13078	2	1	3	54	0.000781248
3.13078	2	1	3	54	0.000665176
3.13078	2	1	3	54	0.000531248
3.13078	2	1	3	54	0.000477676
3.13122	2	1	3	54	0.000790176
3.13122	2	1	3	54	0.000656248
3.13122	2	1	3	54	0.000602676
3.13122	2	1	3	54	0.000477676
3.13165	2	1	3	54	0.000839284
3.13165	2	1	3	54	0.000723212
3.13165	2	1	3	54	0.000589284
3.13165	2	1	3	54	0.000535712
3.13165	2	1	3	54	0.000410712
3.13197	2	5	3	54	0.000656248
3.13197	2	5	3	54	0.000540176
3.13197	2	5	3	54	0.000406248
3.13197	2	5	3	54	0.000352676
3.13235	2	5	3	54	0.000602676
3.13235	2	5	3	54	0.000531248
3.13235	2	5	3	54	0.000415176
3.13235	2	5	3	54	0.000290176
3.13278	2	5	3	54	0.000656248
3.13278	2	5	3	54	0.000540176
3.13278	2	5	3	54	0.000406248
3.13278	2	5	3	54	0.000352676
3.13316	2	5	3	54	0.000602676
3.13316	2	5	3	54	0.000531248
3.13316	2	5	3	54	0.000415176
3.13316	2	5	3	54	0.000281248
3.13353	2	5	3	54	0.000602676
3.13353	2	5	3	54	0.000477676
3.13353	2	5	3	54	0.000406248
3.13353	2	5	3	54	0.000290176
3.1341	2	5	3	54	0.000718748
3.1341	2	5	3	54	0.000665176
3.1341	2	5	3	54	0.000540176
3.1341	2	5	3	54	0.000415176
3.13822	2	6	3	54	0.000602676
3.13822	2	6	3	54	0.000468748
3.13822	2	6	3	54	0.000415176
3.13822	2	6	3	54	0.000290176
3.13866	2	6	3	54	0.000656248
3.13866	2	6	3	54	0.000540176
3.13866	2	6	3	54	0.000406248
3.13866	2	6	3	54	0.000352676
3.13903	2	6	3	54	0.000598212
3.13903	2	6	3	54	0.000526784
3.13903	2	6	3	54	0.000410712
3.13903	2	6	3	54	0.000285712
3.13947	2	6	3	54	0.000656248
3.13947	2	6	3	54	0.000540176
3.13947	2	6	3	54	0.000406248
3.13947	2	6	3	54	0.000352676
3.13985	2	6	3	54	0.000602676
3.13985	2	6	3	54	0.000531248
3.13985	2	6	3	54	0.000415176
3.13985	2	6	3	54	0.000281248
3.14022	2	6	3	54	0.000602676
3.14022	2	6	3	54	0.000477676
3.14022	2	6	3	54	0.000406248
3.14022	2	6	3	54	0.000290176
3.14072	2	6	3	54	0.000656248
3.14072	2	6	3	54	0.000602676
3.14072	2	6	3	54	0.000477676
3.14072	2	6	3	54	0.000343748
3.14116	2	6	3	54	0.000727676
3.14116	2	6	3	54	0.000602676
3.14116	2	6	3	54	0.000531248
3.14116	2	6	3	54	0.000415176
3.1416	2	6	3	54	0.000727676
3.1416	2	6	3	54	0.000656248
3.1416	2	6	3	54	0.000540176
3.1416	2	6	3	54	0.000406248
3.14203	2	6	3	54	0.000790176
3.14203	2	6	3	54	0.000665176
3.14203	2	6	3	54	0.000593748
3.14203	2	6	3	54	0.000477676
3.14235	2	7	3	54	0.000656248
3.14235	2	7	3	54	0.000602676
3.14235	2	7	3	54	0.000477676
3.14235	2	7	3	54	0.000406248
3.14278	2	7	3	54	0.000727676
3.14278	2	7	3	54	0.000593748
3.14278	2	7	3	54	0.000540176
3.14278	2	7	3	54	0.000415176
3.14322	2	7	3	54	0.000718748
3.14322	2	7	3	54	0.000665176
3.14322	2	7	3	54	0.000540176
3.14322	2	7	3	54	0.000468748
3.14366	2	7	3	54	0.000790176
3.14366	2	7	3	54	0.000656248
3.14366	2	7	3	54	0.000602676
3.14366	2	7	3	54	0.000477676
3.14366	2	7	3	54	0.000406248
3.1441	2	7	3	54	0.000727676
3.1441	2	7	3	54	0.000593748
3.1441	2	7	3	54	0.000540176
3.1441	2	7	3	54	0.000415176
3.14453	2	7	3	54	0.000781248
3.14453	2	7	3	54	0.000665176
3.14453	2	7	3	54	0.000540176
3.14472	2	6	3	54	0.000651784
