time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.44741	2	5	3	110	0.000278568
3.44784	2	5	3	110	0.000274104
3.44828	2	5	3	63	0.000278568
3.44866	2	5	3	110	0.000278568
3.4491	2	5	3	110	0.000278568
3.44953	2	5	3	63	0.000278568
3.44991	2	5	3	110	0.000278568
3.45035	2	5	3	4	0.000278568
3.46322	2	7	3	110	0.000278568
3.46335	2	6	3	110	0.000278568
3.46366	2	7	3	110	0.000278568
3.46378	2	6	3	110	0.000278568
3.4641	2	7	3	110	0.000278568
3.46422	2	6	3	110	0.000278568
3.46453	2	7	3	110	0.000278568
3.46466	2	6	3	110	0.000278568
3.46497	2	7	3	110	0.000278568
3.4651	2	6	3	110	0.000278568
3.46541	2	7	3	231	0.000278568
3.46553	2	6	3	110	0.000278568
3.46585	2	7	3	110	0.000278568
3.46597	2	6	3	110	0.000278568
3.46628	2	7	3	110	0.000278568
3.46641	2	6	3	110	0.000278568
3.46672	2	7	3	110	0.000278568
3.46685	2	6	3	231	0.000278568
3.46716	2	7	3	110	0.000278568
3.46728	2	6	3	110	0.000278568
3.4676	2	7	3	110	0.000278568
3.46772	2	6	3	77	0.000278568
3.46803	2	7	3	110	0.000274104
3.4681	2	6	3	110	0.000278568
3.46847	2	7	3	110	0.000278568
3.46853	2	6	3	110	0.000278568
3.46891	2	7	3	231	0.000278568
3.46897	2	6	3	110	0.000278568
3.46935	2	7	3	110	0.000278568
3.4694	2	6	3	110	0.000274104
3.46978	2	7	3	110	0.000278568
3.46985	2	6	3	110	0.000278568
3.47022	2	7	3	110	0.000278568
3.47028	2	6	3	110	0.000278568
3.47066	2	7	3	110	0.000278568
3.47072	2	6	3	110	0.000278568
3.4711	2	7	3	110	0.000278568
3.47116	2	6	3	110	0.000278568
3.47153	2	7	3	110	0.000278568
3.4716	2	6	3	110	0.000278568
3.47197	2	7	3	208	0.000278568
3.47203	2	6	3	110	0.000278568
3.47241	2	7	3	110	0.000278568
3.47247	2	6	3	110	0.000278568
3.4729	2	6	3	231	0.000274104
3.47291	2	7	3	110	0.000278568
3.47334	2	6	3	110	0.000274104
3.47335	2	7	3	110	0.000278568
3.47378	2	6	3	110	0.000274104
3.47378	2	7	3	110	0.000278568
3.47422	2	6	3	110	0.000274104
3.47422	2	7	3	110	0.000278568
3.47465	2	6	3	110	0.000274104
3.47466	2	7	3	110	0.000278568
3.47509	2	6	3	110	0.000274104
3.4751	2	7	3	110	0.000278568
3.47553	2	6	3	209	0.000274104
3.47553	2	7	3	110	0.000278568
3.47591	2	6	3	110	0.000278568
3.47597	2	7	3	110	0.000278568
3.47635	2	6	3	110	0.000278568
3.47641	2	7	3	110	0.000278568
3.47672	2	3	3	56	0.000278568
3.47678	2	6	3	110	0.000274104
3.47685	2	7	3	231	0.000278568
3.47722	2	6	3	110	0.000278568
3.47728	2	7	3	110	0.000278568
3.47766	2	6	3	110	0.000278568
3.47772	2	7	3	110	0.000278568
3.4781	2	6	3	110	0.000278568
3.47816	2	7	3	110	0.000278568
3.47853	2	6	3	110	0.000278568
3.4786	2	7	3	110	0.000278568
3.47897	2	6	3	110	0.000278568
3.47903	2	7	3	110	0.000274104
3.4794	2	6	3	110	0.000274104
3.47947	2	7	3	231	0.000278568
3.47985	2	6	3	110	0.000278568
3.47991	2	7	3	110	0.000278568
3.48028	2	6	3	110	0.000278568
3.48035	2	7	3	110	0.000278568
3.48072	2	6	3	110	0.000278568
3.48078	2	7	3	110	0.000278568
3.48116	2	6	3	110	0.000278568
3.48122	2	7	3	110	0.000278568
3.4816	2	6	3	207	0.000278568
3.48165	2	7	3	211	0.000274104
3.4821	2	7	3	110	0.000278568
3.48216	2	6	3	110	0.000278568
3.48253	2	7	3	110	0.000278568
3.4826	2	6	3	110	0.000278568
3.48297	2	7	3	110	0.000278568
3.48303	2	6	3	110	0.000274104
3.48341	2	7	3	110	0.000278568
3.48347	2	6	3	110	0.000278568
3.48385	2	7	3	110	0.000278568
3.48391	2	6	3	110	0.000278568
3.48428	2	7	3	110	0.000278568
3.48435	2	6	3	110	0.000278568
3.48472	2	7	3	231	0.000278568
3.48478	2	6	3	110	0.000278568
3.48516	2	7	3	110	0.000278568
3.48522	2	6	3	110	0.000278568
3.48559	2	7	3	110	0.000274104
3.48566	2	6	3	231	0.000278568
3.48603	2	7	3	110	0.000278568
3.4861	2	6	3	110	0.000278568
3.48647	2	7	3	110	0.000278568
3.48653	2	6	3	110	0.000278568
3.48691	2	7	3	110	0.000278568
3.48697	2	6	3	110	0.000278568
3.48735	2	7	3	110	0.000278568
3.48741	2	6	3	110	0.000278568
3.48778	2	7	3	110	0.000278568
3.48784	2	6	3	110	0.000274104
3.48822	2	7	3	110	0.000278568
3.48828	2	6	3	231	0.000278568
3.48866	2	7	3	110	0.000278568
3.48872	2	6	3	110	0.000274104
3.4891	2	7	3	110	0.000278568
3.48916	2	6	3	110	0.000278568
3.48953	2	7	3	110	0.000278568
3.4896	2	6	3	110	0.000278568
3.48997	2	7	3	110	0.000278568
