time(s)	cellId	rnti	lcid	packetSize
3.36688	2	6	3	239
3.36732	2	6	3	421
3.36782	2	6	3	239
3.36825	2	6	3	239
3.36869	2	6	3	239
3.36913	2	6	3	489
3.36957	2	6	3	740
3.37	2	6	3	489
3.37044	2	6	3	489
3.37088	2	6	3	489
3.37132	2	6	3	740
3.37175	2	6	3	489
3.37219	2	6	3	489
3.37263	2	6	3	489
3.37307	2	6	3	740
3.3735	2	6	3	489
3.37394	2	6	3	489
3.37438	2	6	3	488
3.37482	2	6	3	740
3.37525	2	6	3	489
3.37569	2	6	3	489
3.37613	2	6	3	489
3.37657	2	6	3	740
3.377	2	6	3	239
3.37744	2	6	3	740
3.37788	2	6	3	489
3.37832	2	6	3	489
3.37875	2	6	3	740
3.37919	2	6	3	489
3.37963	2	6	3	489
3.38	2	7	3	239
3.38007	2	6	3	390
3.38044	2	7	3	489
3.38088	2	7	3	357
3.38088	2	6	3	239
3.38125	2	7	3	239
3.38132	2	6	3	272
3.38169	2	7	3	489
3.382	2	6	3	239
3.38213	2	7	3	230
3.38244	2	6	3	489
3.38282	2	7	3	239
3.38288	2	6	3	293
3.38325	2	7	3	489
3.38369	2	7	3	489
3.38413	2	7	3	740
3.38457	2	7	3	239
3.385	2	7	3	740
3.38544	2	7	3	489
3.38588	2	7	3	740
3.38632	2	7	3	239
3.38675	2	7	3	740
3.38719	2	7	3	489
3.38763	2	7	3	488
3.38807	2	7	3	740
3.3885	2	7	3	489
3.38894	2	7	3	489
3.38938	2	7	3	740
3.38982	2	7	3	489
3.39025	2	7	3	489
3.39069	2	7	3	489
3.39113	2	7	3	740
3.39157	2	7	3	239
3.392	2	7	3	740
3.39244	2	7	3	489
3.39288	2	7	3	489
3.39332	2	7	3	740
3.39375	2	7	3	489
3.39419	2	7	3	489
3.39463	2	7	3	740
3.39507	2	7	3	489
3.3955	2	7	3	489
3.39594	2	7	3	489
3.39638	2	7	3	740
3.39682	2	7	3	489
3.39725	2	7	3	489
3.39769	2	7	3	489
3.39813	2	7	3	740
3.39857	2	7	3	489
3.399	2	7	3	487
3.39944	2	7	3	489
3.39988	2	7	3	740
3.40032	2	7	3	489
3.40075	2	7	3	489
3.40119	2	7	3	489
3.40163	2	7	3	740
3.40207	2	7	3	489
3.4025	2	7	3	489
3.40294	2	7	3	489
3.40338	2	7	3	740
3.40382	2	7	3	489
3.40425	2	7	3	489
3.40469	2	7	3	239
3.40513	2	7	3	162
3.40513	2	1	3	223
3.40557	2	1	3	223
3.40594	2	1	3	223
3.40638	2	1	3	223
3.40675	2	1	3	223
3.40713	2	1	3	223
3.40757	2	1	3	223
